z,DM_shell_Mpc,DM_LCDM_Mpc,fractional_offset,assumed_err_frac,significance_sigma
2.0,5152.732090897196,5179.862074409373,-0.005237588013435795,0.01,-0.5237588013435794
2.25,5493.162789474335,5521.196656795563,-0.005077498423593318,0.01,-0.5077498423593318
2.5,5798.832925106426,5827.541811934206,-0.004926414559392235,0.01,-0.49264145593922354
2.75,6075.040194740423,6104.259894014605,-0.004786771825169611,0.01,-0.4786771825169611
3.0,6326.074134798975,6355.685436297465,-0.004659025654318666,0.01,-0.4659025654318666
3.25,6555.43375300261,6585.349017818392,-0.004542699974570639,0.01,-0.4542699974570639
3.5,6765.995837747625,6796.149817577128,-0.004436920997755848,0.01,-0.44369209977558477
3.75,6960.144484526439,6990.487999820517,-0.0043406862718106945,0.01,-0.4340686271810694
4.0,7139.87087047479,7170.366414463294,-0.004252996600981504,0.015,-0.2835331067321003
4.25,7306.85043313429,7337.469080916278,-0.004172916770664452,0.015,-0.27819445137763016
4.5,7462.502927263351,7493.22213716901,-0.004099599523852518,0.015,-0.2733066349235012
4.75,7608.039480743681,7638.841512106381,-0.004032290932320422,0.015,-0.26881939548802813
5.0,7744.499733975035,7775.370495462866,-0.003970326752383601,0.015,-0.26468845015890674
5.25,7872.781370531243,7903.709572607885,-0.003913124817216339,0.015,-0.26087498781442264
5.5,7993.663770779298,8024.640295380326,-0.003860176090243087,0.015,-0.2573450726828725
5.75,8107.827094113068,8138.844521143964,-0.0038110357004997224,0.015,-0.2540690466999815
6.0,8215.867780008022,8246.920028244984,-0.003765314581760255,0.015,-0.25102097211735036
